,review_by,review_id,location,cost,installation_time,pre_sales_information,install_co-ordination,connection_reliability,tech_support,services,value_for_money,date
0,ych  ,96808,"Montreal, QC, Canada",57,2,,50,50,50,50,,2022-03-14
1,RumClutch  ,95503,"Georgetown, ON, Canada",70,2,100,75,100,75,75,50,2022-02-01
2,El Quintron  ,95743,Tronna,80,8,75,0,100,50,75,75,2022-01-19
3,techie7k  ,96766,undisclosed location,,,100,100,100,100,100,100,2021-12-15
4,KlatuuBarada  ,96762,"Laval, QC, Canada",80,2,75,75,100,50,75,50,2021-12-03
5,AppleGuy  ,96743,"Kitchener, ON, Canada",113,2,75,100,100,100,100,75,2021-11-06
6,DavePC  ,95137,"Richmond Hill, ON, Canada",67,1,50,100,100,75,75,50,2021-07-06
7,dbarron  ,96247,"Sudbury, ON, Canada",119,,50,75,75,75,75,0,2021-03-24
8,avax  ,96615,"Toronto, ON, Canada",86,5,,,,,,,2021-03-24
9,zadigre  ,96149,"Montreal, QC, Canada",65,3,75,100,100,100,100,100,2021-02-16
10,murky  ,94039,"Sault Ste Marie, ON, Canada",180,,100,100,100,50,100,100,2021-01-10
11,ooomen  ,96529,"Sault Ste Marie, ON, Canada",52,3,,,,,,,2020-12-05
12,SharkyCA  ,96493,"Carleton Place, ON, Canada",55,,75,75,75,75,75,50,2020-09-23
13,purplesplat  ,96492,"Braeside, ON, Canada",90,14,25,50,50,50,25,25,2020-09-23
14,wowproducts  ,96488,"Kingston, ON, Canada",100,2,,,,,,,2020-09-23
15,pandaruu  ,96446,"Corbyville, ON, Canada",75,,75,75,0,0,0,0,2020-08-17
16,Wo1f  ,64410,"Montreal, QC, Canada",90,,100,100,100,100,100,75,2020-07-12
17,sammygee434  ,96389,"Cote Saint-Luc, QC, Canada",98,2,100,75,100,25,75,100,2020-06-05
18,Hoodlum416  ,96273,"North York, ON, Canada",,,50,100,100,50,100,50,2020-06-05
19,Altheran5  ,95286,J3M0C7,110,5,75,100,100,50,75,75,2020-04-30
20,Wesley  ,96219,"Acton, ON, Canada",90,,50,75,100,50,25,0,2020-02-16
21,potvinp  ,96174,"Pembroke, ON, Canada",65,7,,,,,,,2019-12-05
22,TLS2000  ,45349,"Oshawa, ON, Canada",80,14,100,0,100,50,100,100,2019-12-05
23,H0W1K2  ,93795,Toronto ,49,1,50,100,100,100,75,50,2019-09-23
24,Maxx2006  ,96099,"Guelph, ON, Canada",68,1,75,75,75,50,75,75,2019-09-23
25,drewis  ,83045,"Hamilton, ON, Canada",90,,75,75,100,25,75,75,2019-07-12
26,user2008  ,51628,Canada,29,3,50,100,100,75,50,50,2019-07-12
27,wb70ss  ,95923,"Toronto, ON, Canada",114,6,75,100,100,100,100,100,2019-03-25
28,deathless  ,95105,Ottawa,112,,50,50,75,50,50,50,2018-12-05
29,jump221281  ,95805,"Beauharnois, QC, Canada",106,50,100,100,50,0,25,75,2018-10-30
30,ewtoombs  ,95655,"Kingston, ON, Canada",102,4,25,100,50,0,50,0,2018-09-23
31,tigerdan313  ,95576,"Thetford Mines, QC, Canada",,,100,75,75,75,75,75,2018-06-06
32,markuswarren  ,95550,"Oakville, ON, Canada",,,75,75,75,75,25,50,2018-04-30
33,SimplePanda  ,94726,"Toronto, ON, Canada",129,7,75,100,100,0,100,75,2018-04-30
34,DeanLubaki  ,95513,UK and CA,56,1,,,,,,,2018-04-30
35,repoman03  ,95452,"North York, ON, Canada",85,5,100,100,75,75,75,100,2018-03-25
36,Nezcro  ,95424,"Scarborough, ON, Canada",75,,100,50,100,50,100,100,2018-02-16
37,ve2mrx  ,95413,"Sainte-Julie, QC, Canada",153,12,75,75,100,75,100,75,2018-02-16
38,marcopolo53  ,95410,"Mississauga, ON, Canada",45,5,25,75,75,50,75,50,2018-02-16
39,dansleboby  ,95400,"Repentigny, QC, Canada",114,7,75,75,100,25,50,100,2018-02-16
40,DSL_review21  ,95297,undisclosed location,,,50,75,100,75,100,75,2017-12-05
41,VinnieT  ,95292,Canada,,,,,,,,,2017-12-05
42,LazMan  ,65134,"Welland, ON, Canada",,10,75,100,100,75,75,75,2017-12-05
43,jcobban  ,95289,"Kanata, ON, Canada",375,5,50,50,25,0,25,25,2017-12-05
44,azsune  ,95221,"Pickering, ON, Canada",230,,50,75,0,25,25,0,2017-10-29
45,vitesse  ,68382,"Saint-Philippe, QC, Canada",60,30,0,25,25,0,25,25,2017-10-29
46,petermac1  ,95175,"East York, ON, Canada",180,60,25,0,75,25,50,50,2017-09-23
47,jimb ottawa  ,95125,undisclosed location,,5,50,75,25,25,50,50,2017-09-23
48,nickel  ,95062,"Mont-Royal, QC, Canada",80,1,50,100,100,50,50,50,2017-08-17
49,ACKernel  ,94968,"Dartmouth, NS, Canada",172,1,100,100,100,100,100,100,2017-07-12
