ISP_name,review_by,review_id,location,cost,installation_time,pre_sales_information,install_co-ordination,connection_reliability,tech_support,services,value_for_money,date
Bell,ych  ,96808,"Montreal, QC, Canada",57,2,,50,50,50,50,,2022-03-14
Bell,RumClutch  ,95503,"Georgetown, ON, Canada",70,2,100,75,100,75,75,50,2022-02-02
Bell,El Quintron  ,95743,Tronna,80,8,75,0,100,50,75,75,2022-01-20
Bell,techie7k  ,96766,undisclosed location,,,100,100,100,100,100,100,2021-12-15
Bell,KlatuuBarada  ,96762,"Laval, QC, Canada",80,2,75,75,100,50,75,50,2021-12-04
Bell,AppleGuy  ,96743,"Kitchener, ON, Canada",113,2,75,100,100,100,100,75,2021-11-06
Bell,DavePC  ,95137,"Richmond Hill, ON, Canada",67,1,50,100,100,75,75,50,2021-07-07
Bell,dbarron  ,96247,"Sudbury, ON, Canada",119,,50,75,75,75,75,0,2021-03-06
Bell,avax  ,96615,"Toronto, ON, Canada",86,5,,,,,,,2021-03-06
Bell,zadigre  ,96149,"Montreal, QC, Canada",65,3,75,100,100,100,100,100,2021-03-06
Bell,murky  ,94039,"Sault Ste Marie, ON, Canada",180,,100,100,100,50,100,100,2020-12-23
Bell,ooomen  ,96529,"Sault Ste Marie, ON, Canada",52,3,,,,,,,2020-12-23
Bell,SharkyCA  ,96493,"Carleton Place, ON, Canada",55,,75,75,75,75,75,50,2020-10-11
Bell,purplesplat  ,96492,"Braeside, ON, Canada",90,14,25,50,50,50,25,25,2020-10-11
Bell,wowproducts  ,96488,"Kingston, ON, Canada",100,2,,,,,,,2020-10-11
Bell,pandaruu  ,96446,"Corbyville, ON, Canada",75,,75,75,0,0,0,0,2020-07-30
Bell,Wo1f  ,64410,"Montreal, QC, Canada",90,,100,100,100,100,100,75,2020-07-30
Bell,sammygee434  ,96389,"Cote Saint-Luc, QC, Canada",98,2,100,75,100,25,75,100,2020-06-24
Bell,Hoodlum416  ,96273,"North York, ON, Canada",,,50,100,100,50,100,50,2020-05-18
Bell,Altheran5  ,95286,J3M0C7,110,5,75,100,100,50,75,75,2020-05-18
Bell,Wesley  ,96219,"Acton, ON, Canada",90,,50,75,100,50,25,0,2020-01-29
Bell,potvinp  ,96174,"Pembroke, ON, Canada",65,7,,,,,,,2019-12-24
Bell,TLS2000  ,45349,"Oshawa, ON, Canada",80,14,100,0,100,50,100,100,2019-12-24
Bell,H0W1K2  ,93795,Toronto ,49,1,50,100,100,100,75,50,2019-10-12
Bell,Maxx2006  ,96099,"Guelph, ON, Canada",68,1,75,75,75,50,75,75,2019-09-05
Bell,drewis  ,83045,"Hamilton, ON, Canada",90,,75,75,100,25,75,75,2019-06-24
Bell,user2008  ,51628,Canada,29,3,50,100,100,75,50,50,2019-06-24
Bell,wb70ss  ,95923,"Toronto, ON, Canada",114,6,75,100,100,100,100,100,2019-03-07
Bell,deathless  ,95105,Ottawa,112,,50,50,75,50,50,50,2018-11-17
Bell,jump221281  ,95805,"Beauharnois, QC, Canada",106,50,100,100,50,0,25,75,2018-11-17
Bell,ewtoombs  ,95655,"Kingston, ON, Canada",102,4,25,100,50,0,50,0,2018-09-05
Bell,tigerdan313  ,95576,"Thetford Mines, QC, Canada",,,100,75,75,75,75,75,2018-05-18
Bell,markuswarren  ,95550,"Oakville, ON, Canada",,,75,75,75,75,25,50,2018-05-18
Bell,SimplePanda  ,94726,"Toronto, ON, Canada",129,7,75,100,100,0,100,75,2018-05-18
Bell,DeanLubaki  ,95513,UK and CA,56,1,,,,,,,2018-04-12
Bell,repoman03  ,95452,"North York, ON, Canada",85,5,100,100,75,75,75,100,2018-03-06
Bell,Nezcro  ,95424,"Scarborough, ON, Canada",75,,100,50,100,50,100,100,2018-03-06
Bell,ve2mrx  ,95413,"Sainte-Julie, QC, Canada",153,12,75,75,100,75,100,75,2018-03-06
Bell,marcopolo53  ,95410,"Mississauga, ON, Canada",45,5,25,75,75,50,75,50,2018-03-06
Bell,dansleboby  ,95400,"Repentigny, QC, Canada",114,7,75,75,100,25,50,100,2018-01-29
Bell,DSL_review21  ,95297,undisclosed location,,,50,75,100,75,100,75,2017-12-23
Bell,VinnieT  ,95292,Canada,,,,,,,,,2017-12-23
Bell,LazMan  ,65134,"Welland, ON, Canada",,10,75,100,100,75,75,75,2017-12-23
Bell,jcobban  ,95289,"Kanata, ON, Canada",375,5,50,50,25,0,25,25,2017-12-23
Bell,azsune  ,95221,"Pickering, ON, Canada",230,,50,75,0,25,25,0,2017-11-17
Bell,vitesse  ,68382,"Saint-Philippe, QC, Canada",60,30,0,25,25,0,25,25,2017-11-17
Bell,petermac1  ,95175,"East York, ON, Canada",180,60,25,0,75,25,50,50,2017-10-11
Bell,jimb ottawa  ,95125,undisclosed location,,5,50,75,25,25,50,50,2017-09-05
Bell,nickel  ,95062,"Mont-Royal, QC, Canada",80,1,50,100,100,50,50,50,2017-07-30
Bell,ACKernel  ,94968,"Dartmouth, NS, Canada",172,1,100,100,100,100,100,100,2017-07-30
Bell,Barry  ,91245,"Burlington, ON, Canada",57,2,100,100,100,100,100,75,2017-06-24
Bell,gus71  ,94957,"Alma, QC, Canada",40,3,100,100,100,75,50,100,2017-06-24
Bell,DeanoYYZ  ,93255,"Toronto, ON, Canada",113,1,75,50,100,75,75,75,2017-05-18
Bell,Riplin  ,27811,canada,117,,25,50,100,25,50,25,2017-05-18
Bell,otto66  ,67563,undisclosed location,,,100,100,75,0,0,50,2017-04-12
Bell,yyzsam  ,94818,Toronto,89,6,75,50,100,,75,75,2017-04-12
Bell,pkraiker  ,94783,CANADA,,,50,50,25,25,25,25,2017-04-12
Bell,rtd8450  ,94753,"Wasaga Beach, ON, Canada",80,,100,75,50,50,0,0,2017-03-06
Bell,KingMatQC  ,93139,"Mascouche, QC, Canada",115,3,100,100,100,100,100,100,2017-03-06
Bell,ezpower  ,94704,"Saint-Jerome, QC, Canada",114,7,,,,,,,2017-03-06
Bell,edugas  ,94411,"Montreal, QC, Canada",87,5,,,,,,,2017-01-29
Bell,shan520  ,94571,undisclosed location,,,,,,,,,2016-12-23
Bell,fruitkiller  ,94324,"Jonquiere, QC, Canada",80,,100,100,75,0,100,75,2016-11-17
Bell,dv8  ,94477,m4y1ks,,,,,,,,,2016-11-17
Bell,TheRedKnight  ,94441,J7V,120,3,100,25,100,50,100,100,2016-10-11
Bell,siljaline  ,32321,"Montreal, QC",68,2,25,0,50,25,50,25,2016-10-11
Bell,mikefallen  ,94122,"Scarborough, ON, Canada",68,,50,100,100,0,0,50,2016-10-11
Bell,p0nk1n  ,94289,"Saint-Jerome, QC, Canada",98,3,100,100,100,,100,75,2016-09-05
Bell,Jason1978  ,94247,"Val-Des-Monts, QC, Canada",80,,,,,,,,2016-09-05
Bell,dandu3  ,94240,"Granby, QC",92,4,50,75,100,75,75,100,2016-09-05
Bell,Thane_Bitter  ,73644,undisclosed location,,9,0,0,0,0,0,0,2016-07-30
Bell,nostrand  ,94150,"Laval, QC, Canada",70,,100,100,100,75,75,100,2016-07-30
Bell,BriEE  ,93718,undisclosed location,140,3,50,25,100,50,75,,2016-06-24
